#### Transit probability for two planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### 
####    
####
####
a_p/R	transit_prob
"1"	0.025626
"2"	0.025872
"3"	0.025734
"4"	0.025829
"5"	0.025963
"6"	0.025535
"7"	0.025957
"8"	0.025654
"9"	0.025888
"10"	0.025914
"11"	0.025733
"12"	0.025841
"13"	0.025576
"14"	0.025869
"15"	0.025942
"16"	0.025712
"17"	0.025693
"18"	0.025171
"19"	0.025168
"20"	0.025371
"21"	0.025487
"22"	0.025368
"23"	0.02513
"24"	0.02513
"25"	0.025258
"26"	0.02566
"27"	0.025195
"28"	0.02477
"29"	0.025045
"30"	0.024729
"31"	0.024489
"32"	0.024285
"33"	0.023855
"34"	0.023551
"35"	0.023668
"36"	0.023037
"37"	0.022659
"38"	0.022577
"39"	0.021982
"40"	0.02134
"41"	0.02133
"42"	0.020579
"43"	0.020041
"44"	0.019776
"45"	0.019148
"46"	0.018632
"47"	0.018258
"48"	0.017447
"49"	0.017244
"50"	0.016615
"51"	0.01598
"52"	0.015283
"53"	0.014834
"54"	0.014009
"55"	0.01363
"56"	0.013272
"57"	0.012533
"58"	0.01217
"59"	0.01154
"60"	0.010637
"61"	0.010286
"62"	0.009806
"63"	0.009492
"64"	0.008871
"65"	0.008442
"66"	0.008002
"67"	0.007522
"68"	0.007224
"69"	0.006687
"70"	0.006489
"71"	0.006048
"72"	0.00578
"73"	0.005435
"74"	0.00519
"75"	0.004706
"76"	0.004478
"77"	0.004277
"78"	0.004008
"79"	0.003743
"80"	0.003604
"81"	0.003303
"82"	0.003061
"83"	0.003064
"84"	0.002855
"85"	0.002651
"86"	0.002551
"87"	0.002351
"88"	0.002333
"89"	0.002121
"90"	0.00181
"91"	0.001793
"92"	0.001613
"93"	0.001523
"94"	0.001389
"95"	0.001373
"96"	0.001273
"97"	0.001142
"98"	0.001112
"99"	0.00103
"100"	0.001007
