#### Transit probability for three planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### 
####    
####
####
a_p/R	transit_prob
"1"	0.009385
"2"	0.009051
"3"	0.009338
"4"	0.009237
"5"	0.009282
"6"	0.009314
"7"	0.009229
"8"	0.009245
"9"	0.009193
"10"	0.009404
"11"	0.009251
"12"	0.009375
"13"	0.009138
"14"	0.009203
"15"	0.00929
"16"	0.009264
"17"	0.009241
"18"	0.009185
"19"	0.009141
"20"	0.009117
"21"	0.009299
"22"	0.00923
"23"	0.009192
"24"	0.009199
"25"	0.008978
"26"	0.009072
"27"	0.009255
"28"	0.009261
"29"	0.009061
"30"	0.009114
"31"	0.008938
"32"	0.008969
"33"	0.008898
"34"	0.008691
"35"	0.008808
"36"	0.008887
"37"	0.008687
"38"	0.008626
"39"	0.008401
"40"	0.008333
"41"	0.008319
"42"	0.008148
"43"	0.008088
"44"	0.00811
"45"	0.008019
"46"	0.007978
"47"	0.007857
"48"	0.007707
"49"	0.007509
"50"	0.007497
"51"	0.007305
"52"	0.007119
"53"	0.007079
"54"	0.006966
"55"	0.006784
"56"	0.006644
"57"	0.006419
"58"	0.006295
"59"	0.006116
"60"	0.00608
"61"	0.005889
"62"	0.005467
"63"	0.005444
"64"	0.005117
"65"	0.004906
"66"	0.004726
"67"	0.004657
"68"	0.004479
"69"	0.004159
"70"	0.003978
"71"	0.003978
"72"	0.003681
"73"	0.003419
"74"	0.003363
"75"	0.003093
"76"	0.003047
"77"	0.002819
"78"	0.002692
"79"	0.002523
"80"	0.002407
"81"	0.002262
"82"	0.002173
"83"	0.002145
"84"	0.002
"85"	0.001902
"86"	0.001817
"87"	0.001808
"88"	0.001674
"89"	0.001481
"90"	0.00133
"91"	0.001242
"92"	0.001176
"93"	0.001115
"94"	0.001011
"95"	0.000918
"96"	0.000821
"97"	0.000764
"98"	0.000803
"99"	0.000739
"100"	0.000688
