#### Transit probability for four planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### Each step of a_p/R is unifrom in log10() space ranging from a_p/R=1 to a_p/R=500
####    
####
####
a_p/R	transit_prob
"1"	0.004781
"2"	0.004859
"3"	0.004848
"4"	0.004826
"5"	0.004829
"6"	0.004915
"7"	0.004706
"8"	0.004848
"9"	0.004812
"10"	0.004798
"11"	0.004899
"12"	0.004803
"13"	0.004827
"14"	0.004844
"15"	0.004827
"16"	0.004801
"17"	0.004865
"18"	0.004884
"19"	0.00472
"20"	0.004716
"21"	0.004842
"22"	0.004783
"23"	0.004758
"24"	0.004776
"25"	0.004758
"26"	0.004742
"27"	0.004806
"28"	0.004757
"29"	0.004747
"30"	0.004885
"31"	0.004781
"32"	0.004852
"33"	0.004888
"34"	0.004665
"35"	0.004791
"36"	0.0048
"37"	0.004776
"38"	0.004789
"39"	0.004778
"40"	0.004788
"41"	0.00473
"42"	0.004868
"43"	0.004852
"44"	0.004717
"45"	0.004754
"46"	0.004628
"47"	0.004578
"48"	0.004647
"49"	0.004688
"50"	0.0046
"51"	0.004527
"52"	0.004434
"53"	0.004354
"54"	0.00432
"55"	0.00414
"56"	0.004266
"57"	0.004084
"58"	0.004067
"59"	0.003948
"60"	0.003829
"61"	0.003715
"62"	0.003588
"63"	0.003506
"64"	0.003354
"65"	0.003187
"66"	0.003217
"67"	0.003065
"68"	0.002904
"69"	0.002705
"70"	0.002681
"71"	0.002569
"72"	0.002449
"73"	0.002336
"74"	0.002178
"75"	0.002101
"76"	0.002028
"77"	0.001912
"78"	0.001812
"79"	0.001651
"80"	0.001597
"81"	0.001495
"82"	0.001509
"83"	0.001369
"84"	0.001306
"85"	0.001187
"86"	0.001167
"87"	0.001099
"88"	0.001002
"89"	0.001019
"90"	0.000924
"91"	0.000835
"92"	0.000786
"93"	0.00074
"94"	0.000725
"95"	0.000736
"96"	0.00061
"97"	0.00061
"98"	0.000563
"99"	0.000522
"100"	0.000506
