#### Transit probability for five planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### Each step of a_p/R is unifrom in log10() space ranging from a_p/R=1 to a_p/R=500
####    
####
####
a_p/R	transit_prob
"1"	0.002916
"2"	0.002894
"3"	0.002881
"4"	0.002969
"5"	0.002863
"6"	0.002812
"7"	0.002884
"8"	0.002939
"9"	0.002961
"10"	0.002895
"11"	0.002887
"12"	0.002873
"13"	0.002871
"14"	0.002935
"15"	0.002959
"16"	0.002851
"17"	0.002884
"18"	0.002867
"19"	0.002855
"20"	0.002969
"21"	0.002961
"22"	0.002918
"23"	0.002802
"24"	0.002822
"25"	0.002921
"26"	0.002911
"27"	0.002911
"28"	0.002945
"29"	0.002933
"30"	0.002925
"31"	0.002919
"32"	0.002961
"33"	0.002897
"34"	0.002903
"35"	0.002951
"36"	0.002788
"37"	0.002806
"38"	0.002969
"39"	0.002963
"40"	0.002828
"41"	0.002889
"42"	0.002967
"43"	0.002853
"44"	0.002932
"45"	0.002913
"46"	0.002846
"47"	0.002927
"48"	0.002877
"49"	0.002867
"50"	0.002798
"51"	0.002807
"52"	0.002874
"53"	0.002772
"54"	0.002704
"55"	0.002693
"56"	0.002701
"57"	0.002643
"58"	0.002593
"59"	0.002589
"60"	0.00255
"61"	0.002443
"62"	0.002352
"63"	0.002316
"64"	0.002253
"65"	0.00216
"66"	0.002132
"67"	0.002101
"68"	0.001981
"69"	0.001935
"70"	0.001832
"71"	0.00173
"72"	0.001712
"73"	0.001698
"74"	0.001624
"75"	0.001435
"76"	0.001467
"77"	0.0014
"78"	0.001313
"79"	0.001253
"80"	0.001197
"81"	0.00113
"82"	0.001126
"83"	0.001106
"84"	0.001008
"85"	0.000934
"86"	0.000879
"87"	0.000812
"88"	0.000757
"89"	0.000735
"90"	0.000787
"91"	0.00065
"92"	0.000563
"93"	0.000595
"94"	0.000563
"95"	0.000507
"96"	0.00049
"97"	0.00044
"98"	0.000402
"99"	0.000431
"100"	0.000386
