#### Transit probability for six planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### 
####    
####
####
a_p/R	transit_prob
"1"	0.001935
"2"	0.00196
"3"	0.001826
"4"	0.001883
"5"	0.001906
"6"	0.001875
"7"	0.001914
"8"	0.001881
"9"	0.001931
"10"	0.001878
"11"	0.00194
"12"	0.001973
"13"	0.00192
"14"	0.001883
"15"	0.001927
"16"	0.001935
"17"	0.001875
"18"	0.001915
"19"	0.0019
"20"	0.001942
"21"	0.001945
"22"	0.001907
"23"	0.001987
"24"	0.001914
"25"	0.001894
"26"	0.00192
"27"	0.001955
"28"	0.001927
"29"	0.00189
"30"	0.00186
"31"	0.001909
"32"	0.001902
"33"	0.001964
"34"	0.001901
"35"	0.00191
"36"	0.001892
"37"	0.001832
"38"	0.001946
"39"	0.001911
"40"	0.001931
"41"	0.001938
"42"	0.001876
"43"	0.001977
"44"	0.001884
"45"	0.001901
"46"	0.001934
"47"	0.001915
"48"	0.001935
"49"	0.001884
"50"	0.001905
"51"	0.00186
"52"	0.001848
"53"	0.001832
"54"	0.001821
"55"	0.001796
"56"	0.001784
"57"	0.001783
"58"	0.001815
"59"	0.001672
"60"	0.001699
"61"	0.0017
"62"	0.001687
"63"	0.001625
"64"	0.001673
"65"	0.001598
"66"	0.001487
"67"	0.001438
"68"	0.00147
"69"	0.001412
"70"	0.001393
"71"	0.001345
"72"	0.001295
"73"	0.001245
"74"	0.001159
"75"	0.001168
"76"	0.001139
"77"	0.001028
"78"	0.001036
"79"	0.00091
"80"	0.000964
"81"	0.000917
"82"	0.000801
"83"	0.00083
"84"	0.000754
"85"	0.000746
"86"	0.000713
"87"	0.00067
"88"	0.000625
"89"	0.00055
"90"	0.000527
"91"	0.000544
"92"	0.000519
"93"	0.000468
"94"	0.000455
"95"	0.000437
"96"	0.000411
"97"	0.000374
"98"	0.000362
"99"	0.000353
"100"	0.000319
