#### Transit probability for seven planets#####
####
#### Here we have incorporated the mutual inclination distribution of Fang and Margot (2012)
#### Each step of a_p/R is unifrom in log10() space ranging from a_p/R=1 to a_p/R=500
####    
####
####
a_p/R	transit_prob
"1"	0.001368
"2"	0.001408
"3"	0.001411
"4"	0.001359
"5"	0.001337
"6"	0.001325
"7"	0.001324
"8"	0.00132
"9"	0.001356
"10"	0.001307
"11"	0.001367
"12"	0.001444
"13"	0.001365
"14"	0.001362
"15"	0.001361
"16"	0.001364
"17"	0.001268
"18"	0.001383
"19"	0.001372
"20"	0.001349
"21"	0.001335
"22"	0.001317
"23"	0.001297
"24"	0.001446
"25"	0.001346
"26"	0.001388
"27"	0.001326
"28"	0.001381
"29"	0.001328
"30"	0.001381
"31"	0.00135
"32"	0.001308
"33"	0.001318
"34"	0.001328
"35"	0.001395
"36"	0.001415
"37"	0.00134
"38"	0.001396
"39"	0.001399
"40"	0.001351
"41"	0.001341
"42"	0.001302
"43"	0.001307
"44"	0.001366
"45"	0.001325
"46"	0.001318
"47"	0.001369
"48"	0.001374
"49"	0.001364
"50"	0.0013
"51"	0.001374
"52"	0.001296
"53"	0.001346
"54"	0.001351
"55"	0.001329
"56"	0.001324
"57"	0.001304
"58"	0.001309
"59"	0.001264
"60"	0.001288
"61"	0.001273
"62"	0.001313
"63"	0.001248
"64"	0.00124
"65"	0.001223
"66"	0.00115
"67"	0.00111
"68"	0.001121
"69"	0.001071
"70"	0.001056
"71"	0.001036
"72"	0.000986
"73"	0.000949
"74"	0.000946
"75"	0.000891
"76"	0.000875
"77"	0.000817
"78"	0.000829
"79"	0.000779
"80"	0.000705
"81"	0.000678
"82"	0.000689
"83"	0.000683
"84"	0.000605
"85"	0.000583
"86"	0.000522
"87"	0.000499
"88"	0.000511
"89"	0.000494
"90"	0.00046
"91"	0.000439
"92"	0.000372
"93"	0.000405
"94"	0.000368
"95"	0.000316
"96"	3e-04
"97"	0.000297
"98"	0.000269
"99"	3e-04
"100"	0.000246
