KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K00003.01,4.737,0.1945,4.887802706,1.77e-07,1.0 
K00007.01,4.22,0.12,3.213668628,1.12e-06,1.0 
K00041.01,2.221,0.022,12.81588378,1.84e-05,1.0 
K00041.02,1.305,0.03,6.88706037,2.04e-05,2.0 
K00041.03,1.514,0.034,35.3330866,0.0002155,3.0 
K00046.01,5.986,0.2645,3.487689428,1.13e-06,1.0 
K00046.02,1.249,0.0955,6.02979518,7.05e-05,2.0 
K00049.01,3.769,0.216,8.313783059,7.66e-06,1.0 
K00063.01,6.0883,0.4949,9.434151089,2.05e-06,1.0 
K00069.01,1.477,0.033,4.726739475,1.49e-06,1.0 
K00070.01,2.868,0.156,10.85409784,4.4e-06,1.0 
K00070.02,1.708,0.074,3.696119675,2.31e-06,2.0 
K00070.03,2.488,0.1105,77.6115987,0.0001357,3.0 
K00070.04,0.805,0.043,6.09853672,2.84e-05,4.0 
K00070.05,0.863,0.0515,19.5776286,0.000124,5.0 
K00072.02,2.323,0.028,45.29431717,5.28e-05,1.0 
K00072.01,1.473,0.026,0.837491331,2.72e-07,2.0 
K00082.01,2.43,0.164,16.14569077,6.65e-06,1.0 
K00082.02,1.314,0.0915,10.31173752,1.03e-05,2.0 
K00082.03,0.8002,0.0707,27.4537294,0.0001033,3.0 
K00082.04,0.5879,0.0523,7.07136076,2.57e-05,4.0 
K00084.01,2.296,0.046,9.286968825,3.88e-06,1.0 
K00087.01,1.806,0.0975,289.864456,0.001289,1.0 
K00092.01,3.0,0.029,65.70460002,8.82e-05,1.0 
K00102.01,3.5799,0.13,1.735136026,2.84e-07,1.0 
K00103.01,2.56,0.4014,14.91094205,1.15e-05,1.0 
K00104.01,3.186,0.111,2.508057352,3.62e-07,1.0 
K00105.01,3.51,0.192,8.981016833,3.16e-06,1.0 
K00107.01,3.44,0.152,7.256965224,5.77e-06,1.0 
K00108.01,3.476,0.1,15.96533687,1.35e-05,1.0 
K00108.02,5.319,0.039,179.6076602,0.0002824,2.0 
K00111.01,2.481,0.052,11.42754563,8.59e-06,1.0 
K00111.03,2.752,0.1215,51.75529576,8.42e-05,2.0 
K00111.02,2.446,0.173,23.66836427,2.98e-05,3.0 
K00112.01,2.9601,0.1615,51.07926307,6.35e-05,1.0 
K00112.02,1.2639,0.3254,3.709213846,6.33e-06,2.0 
K00115.01,2.802,0.1403,5.41220713,2.49e-06,1.0 
K00115.02,1.4975,0.1815,7.12594591,1.25e-05,2.0 
K00115.03,0.522,0.1396,3.4358789,3.47e-05,3.0 
K00116.01,2.737,0.0495,13.57076622,1.62e-05,1.0 
K00116.02,2.969,0.2255,43.84444353,9.69e-05,2.0 
K00116.04,1.0335,0.2505,23.9802348,0.0001833,3.0 
K00116.03,0.8824,0.1118,6.16491696,4.87e-05,4.0 
K00117.01,2.92,0.0936,14.74913518,2.22e-05,1.0 
K00117.03,1.581,0.1,3.180024635,6.56e-06,2.0 
K00117.02,1.664,0.056,4.90143807,1.04e-05,3.0 
K00117.04,1.064,0.064,7.95830216,5.98e-05,4.0 
K00118.01,2.26,0.062,24.99324193,6.5e-05,1.0 
K00122.01,3.29,0.09,11.52306995,9.11e-06,1.0 
K00123.01,2.338,0.094,6.481628092,5.55e-06,1.0 
K00123.02,2.634,0.034,21.22258525,2.81e-05,2.0 
K00124.02,2.379,0.043,31.71982498,6.04e-05,1.0 
K00124.01,1.979,0.1105,12.69105209,2.26e-05,2.0 
K00137.02,5.198,0.0925,14.85891269,3.76e-06,1.0 
K00137.01,4.295,0.2205,7.641571533,1.79e-06,2.0 
K00137.03,1.778,0.18,3.504687554,3.58e-06,3.0 
K00139.01,6.978,0.176,224.7782093,0.0003047,1.0 
K00139.02,1.519,0.306,3.341802938,7.02e-06,2.0 
K00141.01,5.6806,0.1625,2.624234598,4.07e-07,1.0 
K00142.01,3.823,0.5311,10.91610834,4.88e-06,1.0 
K00144.01,3.094,0.254,4.176255514,1.84e-06,1.0 
